City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
199,Weligama,LK,2020-02-20 20:57:46,5.97,80.42,78.6,78,0,10.04
200,Iqaluit,CA,2020-02-20 20:54:50,63.75,-68.51,-29.0,60,20,14.99
201,Torbay,CA,2020-02-20 20:53:43,47.67,-52.73,18.0,56,75,35.57
202,Maihar,IN,2020-02-20 20:57:46,24.27,80.75,66.24,28,7,6.17
203,Aban,RU,2020-02-20 20:57:46,56.67,96.06,16.07,87,99,8.88
204,Tezu,IN,2020-02-20 20:57:46,27.92,96.17,61.99,57,99,0.96
205,Norman Wells,CA,2020-02-20 20:53:19,65.28,-126.83,19.4,73,20,2.24
206,Ponta Do Sol,PT,2020-02-20 20:53:19,32.67,-17.1,57.2,76,40,13.87
207,Villa Carlos Paz,AR,2020-02-20 20:57:47,-31.42,-64.5,75.99,60,40,9.17
208,Svetlogorsk,BY,2020-02-20 20:57:47,52.63,29.73,38.25,89,86,2.86
209,Shenkursk,RU,2020-02-20 20:57:47,62.11,42.9,20.01,96,3,2.57
210,Tapes,BR,2020-02-20 20:57:47,-30.67,-51.4,73.26,68,54,10.83
211,Provideniya,RU,2020-02-20 20:53:41,64.38,-173.3,-5.8,70,0,4.47
212,Lubango,AO,2020-02-20 20:57:47,-14.92,13.49,60.53,83,25,1.41
213,Abomey-Calavi,BJ,2020-02-20 20:57:47,6.45,2.36,86.0,79,20,9.17
214,Gravdal,NO,2020-02-20 20:57:47,68.12,13.5,35.6,86,75,10.29
215,Santa Rosa,PH,2020-02-20 20:53:35,14.31,121.11,75.2,60,75,6.93
216,Anchorage,US,2020-02-20 20:56:50,61.22,-149.9,36.0,92,90,9.55
217,Punta Gorda,US,2020-02-20 20:57:04,26.93,-82.05,84.99,74,1,10.29
218,Madimba,TZ,2020-02-20 20:57:48,-10.4,40.33,77.0,94,20,5.82
219,Yining,CN,2020-02-20 20:53:28,29.04,114.56,50.29,81,100,1.3
220,Maniitsoq,GL,2020-02-20 20:57:48,65.42,-52.9,12.61,46,54,0.22
221,Meulaboh,ID,2020-02-20 20:53:40,4.14,96.13,81.23,81,0,9.28
